client_id,signup_date,weight,age,is_mom,spendiness_top,dress_size,boho_score_inferred,casual_score_inferred,classic_score_inferred,glam_score_inferred,romantic_score_inferred,edgy_score_inferred,preppy_score_inferred,profession,shipping_state,spendiness_bottom,business_score,laidback_score,cocktail_score,nightout_score
162,07:50.5,135,31,t,cheaper_the_better,M,7,5,6,3,4,5,6,Client Services,MN,50_100,9,8,6,7
163,33:26.9,130,38,t,cheaper_the_better,S,6,9,6,7,6,6,6,Medicine,CA,cheaper_the_better,4,5,3,6
164,00:49.7,155,38,t,50_100,L,4,7,6,5,6,6,2,Homemaker,AZ,50_100,7,9,2,6
165,02:22.5,114,38,t,50_100,S,5,7,5,5,3,4,2,Medicine,MN,50_100,9,6,5,6
166,15:49.4,125,29,f,50_100,S,6,7,7,4,8,8,4,Marketing,VA,100_150,7,5,2,6
167,48:21.9,137,30,t,50_100,M,5,9,7,7,8,7,5,Other,KY,50_100,5,9,5,7
168,59:13.6,150,40,t,50_100,M,6,8,4,7,7,6,5,Education,MA,50_100,6,8,7,3
169,18:44.8,124,25,f,100_150,S,4,7,4,3,4,3,3,Other,NY,100_150,6,9,3,7
170,52:36.7,155,30,f,cheaper_the_better,M,6,5,8,5,4,4,4,Finance,TX,cheaper_the_better,7,6,4,8
171,23:26.9,142,29,f,50_100,M,3,4,8,3,7,4,6,Other,IL,50_100,5,7,4,6
172,25:58.4,123,56,t,50_100,S,5,6,7,6,6,2,5,Education,NJ,50_100,8,4,7,3
173,32:55.5,145,22,f,cheaper_the_better,M,5,7,7,5,5,6,7,Retail,GA,100_150,7,8,3,5
174,37:44.2,155,22,t,50_100,M,6,6,8,3,6,6,5,Homemaker,KY,50_100,6,7,4,6
175,58:06.5,125,32,f,cheaper_the_better,S,4,7,9,5,6,6,3,Marketing,ND,50_100,7,4,5,3
176,26:41.5,126,31,t,cheaper_the_better,S,3,5,5,5,7,2,2,Management,CA,50_100,3,7,4,6
177,24:33.7,160,41,f,100_150,L,7,4,6,3,2,3,8,Client Services,SC,50_100,5,8,6,7
178,43:05.1,130,41,t,50_100,M,6,5,8,5,5,6,5,Homemaker,VA,50_100,6,7,5,6
179,29:46.6,200,32,t,50_100,XL,7,9,7,6,6,3,5,Management,NY,50_100,6,7,5,3
180,44:15.8,126,44,t,50_100,S,4,7,4,5,6,3,7,Management,VA,50_100,5,4,2,6
181,05:23.2,120,31,t,50_100,XS,6,5,5,5,5,3,2,Homemaker,CO,150_200,6,8,2,5
182,14:32.9,168,33,t,100_150,L,6,8,6,6,5,5,5,Education,IL,100_150,5,8,2,5
183,04:56.5,125,38,t,cheaper_the_better,M,5,4,5,3,9,5,7,Education,WA,cheaper_the_better,6,7,6,6
184,51:24.6,115,33,t,cheaper_the_better,XS,8,4,8,4,5,4,6,Marketing,SC,cheaper_the_better,6,8,6,4
